ward,year,category,location,cost,geometry_type,grammar
45,2025,Street Resurfacing,ON W GIDDINGS ST FROM N CENTRAL AVE (5600 W) TO N MAJOR AVE,58507.41,line,street_segment
45,2025,Street Resurfacing,ON W GUNNISON ST FROM N MASON AVE (5930 W) TO N AUSTIN AVE,33328.31,line,street_segment
45,2025,Street Resurfacing,ON W PENSACOLA AVE FROM N LARAMIE AVE (5200 W) TO N LOCKWOOD AVE,55701.29,line,street_segment
45,2025,Street Speed Hump,ON N LEAMINGTON AVE FROM W WILSON AVE (4600 N) TO W LELAND AVE,4880.0,line,street_segment
45,2025,Street Speed Hump,ON N NORTHWEST HWY FROM N LONG AVE (5000 N) TO W CARMEN AVE,75.0,line,street_segment
45,2025,Street Speed Hump,ON W AINSLIE ST FROM N CICERO AVE (4800 W) TO N LAVERGNE AVE,4880.0,line,street_segment
45,2025,Street Speed Hump,ON W BYRON ST FROM N KILPATRICK AVE (4700 W) TO N CICERO AVE,4880.0,line,street_segment
45,2025,Unknown,MENU BUDGET,1500000.0,unknown,unresolvable_text
45,2025,Unknown,WARD COMMITTED 2025 TOTAL,1499999.99,unknown,unresolvable_text
45,2025,Unknown,WARD 2025 BALANCE,0.01,unknown,unresolvable_text
45,2025,Curb & Gutter,3801 N PINE GROVE AVE; W GRACE ST & N PINE GROVE AVE,17097.18,point,intersection
45,2025,Unknown,Miscellaneous CDOT Projects (2025) 739 W BROMPTON AVE,660.0,unknown,unresolvable_text
45,2025,Unknown,Miscellaneous CDOT Projects (2025) N LAKE SHORE DR & W GRACE ST; 3750 N LAKE SHORE DR,4000.0,unknown,multi_location
45,2025,Unknown,Miscellaneous CDOT Projects (2025) N MARINE DR & W WILSON AVE,4000.0,point,intersection
45,2025,Sidewalk,1002 W BUENA AVE,49024.83,unknown,single_address
45,2025,Sidewalk,1024-1026 W BUENA AVE,74001.17,line,address_range
45,2025,Sidewalk,1060 W LAWRENCE AVE,37069.82,unknown,single_address
45,2025,Sidewalk,1200 W MONTROSE AVE; W MONTROSE AVE & N MAGNOLIA AVE,20518.41,point,intersection
45,2025,Sidewalk,1227 W LELAND AVE,30411.21,unknown,single_address
45,2025,Sidewalk,1249-1255 W WILSON AVE,24583.03,line,address_range
45,2025,Sidewalk,1321 W WILSON AVE DOVER ST (1400 W),18213.26,unknown,single_address
45,2025,Sidewalk,3601-3603 N BROADWAY,22510.55,line,address_range
45,2025,Sidewalk,3753 N PINE GROVE AVE; 3727 N PINE GROVE AVE,26970.68,unknown,multi_location
45,2025,Sidewalk,3835-3859 N FREMONT ST,5265.63,line,address_range
45,2025,Sidewalk,3932 N CLARENDON AVE,34925.67,unknown,single_address
45,2025,Sidewalk,3934 N PINE GROVE AVE; 3927 N PINE GROVE AVE,16752.49,unknown,multi_location
45,2025,Sidewalk,3949 N BROADWAY,15686.66,unknown,single_address
45,2025,Sidewalk,4018 N KENMORE AVE; 4036 N KENMORE AVE,23404.05,unknown,multi_location
45,2025,Sidewalk,4135-4149 N CLARENDON AVE,67257.9,line,address_range
46,2025,Sidewalk,4136 N SHERIDAN RD,11524.64,unknown,single_address
46,2025,Sidewalk,4142 N BROADWAY,5877.72,unknown,single_address
46,2025,Sidewalk,4155 N CLARK ST,25599.01,unknown,single_address
46,2025,Sidewalk,4247 N HAZEL ST,5129.8,unknown,single_address
